t,g,f,prop
1,0.0026367831245880024,0,0.997363216875412
1,0.0026367831245880024,1,0.0026367831245880024
2,0.0065919578114700065,0,0.99340804218853
2,0.0065919578114700065,1,0.0065919578114700065
3,0.012524719841793012,0,0.987695012085256
3,0.012524719841793012,1,0.012085255987695012
3,0.012524719841793012,2,0.00021973192704900023
4,0.014722039112283015,0,0.985497692814766
4,0.014722039112283015,1,0.014282575258185014
4,0.014722039112283015,2,0.00021973192704900023
5,0.023731048121292023,0,0.976708415732806
5,0.023731048121292023,1,0.022852120413096023
5,0.023731048121292023,2,0.00043946385409800046
6,0.027246758954076026,0,0.973412436827071
6,0.027246758954076026,1,0.025928367391782024
6,0.027246758954076026,2,0.0006591957811470006
7,0.03317952098439903,0,0.967919138650846
7,0.03317952098439903,1,0.03120193364095803
7,0.03317952098439903,2,0.0006591957811470006
7,0.03317952098439903,3,0.00021973192704900023
8,0.035596572181938034,0,0.966381015161503
8,0.035596572181938034,1,0.03186112942210503
8,0.035596572181938034,2,0.0015381234893430016
8,0.035596572181938034,3,0.00021973192704900023
9,0.03911228301472204,0,0.964403427818062
9,0.03911228301472204,1,0.03295978905735003
9,0.03911228301472204,2,0.0017578554163920018
9,0.03911228301472204,3,0.0008789277081960009
10,0.04680290046143705,0,0.957372006152494
10,0.04680290046143705,1,0.039771478795869036
10,0.04680290046143705,2,0.0017578554163920018
10,0.04680290046143705,3,0.0008789277081960009
10,0.04680290046143705,4,0.00021973192704900023
11,0.05119753900241705,0,0.953416831465612
11,0.05119753900241705,1,0.043506921555702044
11,0.05119753900241705,2,0.0017578554163920018
11,0.05119753900241705,3,0.001098659635245001
11,0.05119753900241705,4,0.00021973192704900023
12,0.05185673478356405,0,0.9527576356844649
12,0.05185673478356405,1,0.044166117336849046
12,0.05185673478356405,2,0.0017578554163920018
12,0.05185673478356405,3,0.001098659635245001
12,0.05185673478356405,4,0.00021973192704900023
13,0.05295539441880905,0,0.9523181718303669
13,0.05295539441880905,1,0.043946385409800046
13,0.05295539441880905,2,0.0024170511975390024
13,0.05295539441880905,3,0.001098659635245001
13,0.05295539441880905,4,0.00021973192704900023
14,0.053614590199956055,0,0.9523181718303669
14,0.053614590199956055,1,0.043726653482751045
14,0.053614590199956055,2,0.002197319270490002
